 time            v(NIN)          v(NSKOUT)      
 0.00000000e+00  0.00000000e+00 -1.01249157e-04 
 5.00000000e-09  0.00000000e+00 -1.01249157e-04 
 1.00000000e-08  0.00000000e+00 -1.01249157e-04 
 2.00000000e-08  0.00000000e+00 -1.01249157e-04 
 4.00000000e-08  0.00000000e+00 -1.01249157e-04 
 8.00000000e-08  0.00000000e+00 -1.01249157e-04 
 1.60000000e-07  0.00000000e+00 -1.01249157e-04 
 3.20000000e-07  0.00000000e+00 -1.01249157e-04 
 6.40000000e-07  0.00000000e+00 -1.01249157e-04 
 1.14000000e-06  0.00000000e+00 -1.01249157e-04 
 1.64000000e-06  0.00000000e+00 -1.01249157e-04 
 2.14000000e-06  0.00000000e+00 -1.01249157e-04 
 2.64000000e-06  0.00000000e+00 -1.01249157e-04 
 3.14000000e-06  0.00000000e+00 -1.01249157e-04 
 3.64000000e-06  0.00000000e+00 -1.01249157e-04 
 4.14000000e-06  0.00000000e+00 -1.01249157e-04 
 4.64000000e-06  0.00000000e+00 -1.01249157e-04 
 5.14000000e-06  0.00000000e+00 -1.01249157e-04 
 5.64000000e-06  0.00000000e+00 -1.01249157e-04 
 6.14000000e-06  0.00000000e+00 -1.01249157e-04 
 6.64000000e-06  0.00000000e+00 -1.01249157e-04 
 7.14000000e-06  0.00000000e+00 -1.01249157e-04 
 7.64000000e-06  0.00000000e+00 -1.01249157e-04 
 8.14000000e-06  0.00000000e+00 -1.01249157e-04 
 8.64000000e-06  0.00000000e+00 -1.01249157e-04 
 9.14000000e-06  0.00000000e+00 -1.01249157e-04 
 9.64000000e-06  0.00000000e+00 -1.01249157e-04 
 1.01400000e-05  0.00000000e+00 -1.01249157e-04 
 1.06400000e-05  0.00000000e+00 -1.01249157e-04 
 1.11400000e-05  0.00000000e+00 -1.01249157e-04 
 1.16400000e-05  0.00000000e+00 -1.01249157e-04 
 1.21400000e-05  0.00000000e+00 -1.01249157e-04 
 1.26400000e-05  0.00000000e+00 -1.01249157e-04 
 1.31400000e-05  0.00000000e+00 -1.01249157e-04 
 1.36400000e-05  0.00000000e+00 -1.01249157e-04 
 1.41400000e-05  0.00000000e+00 -1.01249157e-04 
 1.46400000e-05  0.00000000e+00 -1.01249157e-04 
 1.51400000e-05  0.00000000e+00 -1.01249157e-04 
 1.56400000e-05  0.00000000e+00 -1.01249157e-04 
 1.61400000e-05  0.00000000e+00 -1.01249157e-04 
 1.66400000e-05  0.00000000e+00 -1.01249157e-04 
 1.71400000e-05  0.00000000e+00 -1.01249157e-04 
 1.76400000e-05  0.00000000e+00 -1.01249157e-04 
 1.81400000e-05  0.00000000e+00 -1.01249157e-04 
 1.86400000e-05  0.00000000e+00 -1.01249157e-04 
 1.91400000e-05  0.00000000e+00 -1.01249157e-04 
 1.96400000e-05  0.00000000e+00 -1.01249157e-04 
 2.01400000e-05  0.00000000e+00 -1.01249157e-04 
 2.06400000e-05  0.00000000e+00 -1.01249157e-04 
 2.11400000e-05  0.00000000e+00 -1.01249157e-04 
 2.16400000e-05  0.00000000e+00 -1.01249157e-04 
 2.21400000e-05  0.00000000e+00 -1.01249157e-04 
 2.26400000e-05  0.00000000e+00 -1.01249157e-04 
 2.31400000e-05  0.00000000e+00 -1.01249157e-04 
 2.36400000e-05  0.00000000e+00 -1.01249157e-04 
 2.41400000e-05  0.00000000e+00 -1.01249157e-04 
 2.46400000e-05  0.00000000e+00 -1.01249157e-04 
 2.51400000e-05  0.00000000e+00 -1.01249157e-04 
 2.56400000e-05  0.00000000e+00 -1.01249157e-04 
 2.61400000e-05  0.00000000e+00 -1.01249157e-04 
 2.66400000e-05  0.00000000e+00 -1.01249157e-04 
 2.71400000e-05  0.00000000e+00 -1.01249157e-04 
 2.76400000e-05  0.00000000e+00 -1.01249157e-04 
 2.81400000e-05  0.00000000e+00 -1.01249157e-04 
 2.86400000e-05  0.00000000e+00 -1.01249157e-04 
 2.91400000e-05  0.00000000e+00 -1.01249157e-04 
 2.96400000e-05  0.00000000e+00 -1.01249157e-04 
 3.01400000e-05  0.00000000e+00 -1.01249157e-04 
 3.06400000e-05  0.00000000e+00 -1.01249157e-04 
 3.11400000e-05  0.00000000e+00 -1.01249157e-04 
 3.16400000e-05  0.00000000e+00 -1.01249157e-04 
 3.21400000e-05  0.00000000e+00 -1.01249157e-04 
 3.26400000e-05  0.00000000e+00 -1.01249157e-04 
 3.31400000e-05  0.00000000e+00 -1.01249157e-04 
 3.36400000e-05  0.00000000e+00 -1.01249157e-04 
 3.41400000e-05  0.00000000e+00 -1.01249157e-04 
 3.46400000e-05  0.00000000e+00 -1.01249157e-04 
 3.51400000e-05  0.00000000e+00 -1.01249157e-04 
 3.56400000e-05  0.00000000e+00 -1.01249157e-04 
 3.61400000e-05  0.00000000e+00 -1.01249157e-04 
 3.66400000e-05  0.00000000e+00 -1.01249157e-04 
 3.71400000e-05  0.00000000e+00 -1.01249157e-04 
 3.76400000e-05  0.00000000e+00 -1.01249157e-04 
 3.81400000e-05  0.00000000e+00 -1.01249157e-04 
 3.86400000e-05  0.00000000e+00 -1.01249157e-04 
 3.91400000e-05  0.00000000e+00 -1.01249157e-04 
 3.96400000e-05  0.00000000e+00 -1.01249157e-04 
 4.01400000e-05  0.00000000e+00 -1.01249157e-04 
 4.06400000e-05  0.00000000e+00 -1.01249157e-04 
 4.11400000e-05  0.00000000e+00 -1.01249157e-04 
 4.16400000e-05  0.00000000e+00 -1.01249157e-04 
 4.21400000e-05  0.00000000e+00 -1.01249157e-04 
 4.26400000e-05  0.00000000e+00 -1.01249157e-04 
 4.31400000e-05  0.00000000e+00 -1.01249157e-04 
 4.36400000e-05  0.00000000e+00 -1.01249157e-04 
 4.41400000e-05  0.00000000e+00 -1.01249157e-04 
 4.46400000e-05  0.00000000e+00 -1.01249157e-04 
 4.51400000e-05  0.00000000e+00 -1.01249157e-04 
 4.56400000e-05  0.00000000e+00 -1.01249157e-04 
 4.61400000e-05  0.00000000e+00 -1.01249157e-04 
 4.66400000e-05  0.00000000e+00 -1.01249157e-04 
 4.71400000e-05  0.00000000e+00 -1.01249157e-04 
 4.76400000e-05  0.00000000e+00 -1.01249157e-04 
 4.81400000e-05  0.00000000e+00 -1.01249157e-04 
 4.86400000e-05  0.00000000e+00 -1.01249157e-04 
 4.91400000e-05  0.00000000e+00 -1.01249157e-04 
 4.96400000e-05  0.00000000e+00 -1.01249157e-04 
 5.01400000e-05  0.00000000e+00 -1.01249157e-04 
 5.06400000e-05  0.00000000e+00 -1.01249157e-04 
 5.11400000e-05  0.00000000e+00 -1.01249157e-04 
 5.16400000e-05  0.00000000e+00 -1.01249157e-04 
 5.21400000e-05  0.00000000e+00 -1.01249157e-04 
 5.26400000e-05  0.00000000e+00 -1.01249157e-04 
 5.31400000e-05  0.00000000e+00 -1.01249157e-04 
 5.36400000e-05  0.00000000e+00 -1.01249157e-04 
 5.41400000e-05  0.00000000e+00 -1.01249157e-04 
 5.46400000e-05  0.00000000e+00 -1.01249157e-04 
 5.51400000e-05  0.00000000e+00 -1.01249157e-04 
 5.56400000e-05  0.00000000e+00 -1.01249157e-04 
 5.61400000e-05  0.00000000e+00 -1.01249157e-04 
 5.66400000e-05  0.00000000e+00 -1.01249157e-04 
 5.71400000e-05  0.00000000e+00 -1.01249157e-04 
 5.76400000e-05  0.00000000e+00 -1.01249157e-04 
 5.81400000e-05  0.00000000e+00 -1.01249157e-04 
 5.86400000e-05  0.00000000e+00 -1.01249157e-04 
 5.91400000e-05  0.00000000e+00 -1.01249157e-04 
 5.96400000e-05  0.00000000e+00 -1.01249157e-04 
 6.01400000e-05  0.00000000e+00 -1.01249157e-04 
 6.06400000e-05  0.00000000e+00 -1.01249157e-04 
 6.11400000e-05  0.00000000e+00 -1.01249157e-04 
 6.16400000e-05  0.00000000e+00 -1.01249157e-04 
 6.21400000e-05  0.00000000e+00 -1.01249157e-04 
 6.26400000e-05  0.00000000e+00 -1.01249157e-04 
 6.31400000e-05  0.00000000e+00 -1.01249157e-04 
 6.36400000e-05  0.00000000e+00 -1.01249157e-04 
 6.41400000e-05  0.00000000e+00 -1.01249157e-04 
 6.46400000e-05  0.00000000e+00 -1.01249157e-04 
 6.51400000e-05  0.00000000e+00 -1.01249157e-04 
 6.56400000e-05  0.00000000e+00 -1.01249157e-04 
 6.61400000e-05  0.00000000e+00 -1.01249157e-04 
 6.66400000e-05  0.00000000e+00 -1.01249157e-04 
 6.71400000e-05  0.00000000e+00 -1.01249157e-04 
 6.76400000e-05  0.00000000e+00 -1.01249157e-04 
 6.81400000e-05  0.00000000e+00 -1.01249157e-04 
 6.86400000e-05  0.00000000e+00 -1.01249157e-04 
 6.91400000e-05  0.00000000e+00 -1.01249157e-04 
 6.96400000e-05  0.00000000e+00 -1.01249157e-04 
 7.01400000e-05  0.00000000e+00 -1.01249157e-04 
 7.06400000e-05  0.00000000e+00 -1.01249157e-04 
 7.11400000e-05  0.00000000e+00 -1.01249157e-04 
 7.16400000e-05  0.00000000e+00 -1.01249157e-04 
 7.21400000e-05  0.00000000e+00 -1.01249157e-04 
 7.26400000e-05  0.00000000e+00 -1.01249157e-04 
 7.31400000e-05  0.00000000e+00 -1.01249157e-04 
 7.36400000e-05  0.00000000e+00 -1.01249157e-04 
 7.41400000e-05  0.00000000e+00 -1.01249157e-04 
 7.46400000e-05  0.00000000e+00 -1.01249157e-04 
 7.51400000e-05  0.00000000e+00 -1.01249157e-04 
 7.56400000e-05  0.00000000e+00 -1.01249157e-04 
 7.61400000e-05  0.00000000e+00 -1.01249157e-04 
 7.66400000e-05  0.00000000e+00 -1.01249157e-04 
 7.71400000e-05  0.00000000e+00 -1.01249157e-04 
 7.76400000e-05  0.00000000e+00 -1.01249157e-04 
 7.81400000e-05  0.00000000e+00 -1.01249157e-04 
