 time            v(NIN)          v(NSKOUT)      
 5.08163407e-05  4.43282224e+00  5.31447051e-01 
 5.13163407e-05  4.26406627e+00  5.37729078e-01 
 5.18163407e-05  4.09261703e+00  5.43860209e-01 
 5.23163407e-05  3.91858280e+00  5.49835625e-01 
 5.28163407e-05  3.74207351e+00  5.55650607e-01 
 5.33163407e-05  3.56320065e+00  5.61300530e-01 
 5.38163407e-05  3.38207720e+00  5.66780877e-01 
 5.43163407e-05  3.19881755e+00  5.72087233e-01 
 5.48163407e-05  3.01353746e+00  5.77215294e-01 
 5.53163407e-05  2.82635395e+00  5.82160865e-01 
 5.58163407e-05  2.63738526e+00  5.86919868e-01 
 5.63163407e-05  2.44675074e+00  5.91488341e-01 
 5.68163407e-05  2.25457080e+00  5.95862444e-01 
 5.73163407e-05  2.06096683e+00  6.00038459e-01 
 5.78163407e-05  1.86606110e+00  6.04012792e-01 
 5.83163407e-05  1.66997673e+00  6.07781979e-01 
 5.88163407e-05  1.47283757e+00  6.11342686e-01 
 5.93163407e-05  1.27476813e+00  6.14691710e-01 
 5.98163407e-05  1.07589352e+00  6.17825984e-01 
 6.03163407e-05  8.76339350e-01  6.20742579e-01 
 6.08163407e-05  6.76231668e-01  6.23438703e-01 
 6.13163407e-05  4.75696864e-01  6.25911705e-01 
 6.18163407e-05  2.74861599e-01  6.28159079e-01 
 6.23163407e-05  7.38527255e-02  6.30178461e-01 
 6.28163407e-05 -1.27202795e-01  6.31967634e-01 
 6.33163407e-05 -3.28177971e-01  6.33524528e-01 
 6.38163407e-05 -5.28945863e-01  6.34847223e-01 
 6.43163407e-05 -7.29379662e-01  6.35933949e-01 
 6.48163407e-05 -9.29352768e-01  6.36783087e-01 
 6.53163407e-05 -1.12873888e+00  6.37393171e-01 
 6.58163407e-05 -1.32741205e+00  6.37762890e-01 
 6.63163407e-05 -1.52524680e+00  6.37891086e-01 
 6.68163407e-05 -1.72211817e+00  6.37776756e-01 
 6.73163407e-05 -1.91790181e+00  6.37419056e-01 
 6.78163407e-05 -2.11247407e+00  6.36817297e-01 
 6.83163407e-05 -2.30571204e+00  6.35970946e-01 
 6.88163407e-05 -2.49749368e+00  6.34879630e-01 
 6.93163407e-05 -2.68769784e+00  6.33543133e-01 
 6.98163407e-05 -2.87620440e+00  6.31961398e-01 
 7.03163407e-05 -3.06289429e+00  6.30134526e-01 
 7.08163407e-05 -3.24764958e+00  6.28062776e-01 
 7.13163407e-05 -3.43035359e+00  6.25746565e-01 
 7.18163407e-05 -3.61089092e+00  6.23186468e-01 
 7.23163407e-05 -3.78914753e+00  6.20383220e-01 
 7.28163407e-05 -3.96501083e+00  6.17337709e-01 
 7.33163407e-05 -4.13836975e+00  6.14050985e-01 
 7.38163407e-05 -4.30911478e+00  6.10524249e-01 
 7.43163407e-05 -4.47713809e+00  6.06758862e-01 
 7.48163407e-05 -4.64233353e+00  6.02756335e-01 
 7.53163407e-05 -4.80459679e+00  5.98518337e-01 
 7.58163407e-05 -4.96382535e+00  5.94046686e-01 
 7.63163407e-05 -5.11991866e+00  5.89343355e-01 
 7.68163407e-05 -5.27277811e+00  5.84410465e-01 
 7.73163407e-05 -5.42230717e+00  5.79250286e-01 
 7.78163407e-05 -5.56841138e+00  5.73865237e-01 
 7.83163407e-05 -5.71099846e+00  5.68257881e-01 
 7.88163407e-05 -5.84997835e+00  5.62430928e-01 
 7.93163407e-05 -5.98526328e+00  5.56387228e-01 
 7.98163407e-05 -6.11676778e+00  5.50129775e-01 
 8.03163407e-05 -6.24440880e+00  5.43661699e-01 
 8.08163407e-05 -6.36810572e+00  5.36986269e-01 
 8.13163407e-05 -6.48778040e+00  5.30106889e-01 
 8.18163407e-05 -6.60335726e+00  5.23027095e-01 
 8.23163407e-05 -6.71476331e+00  5.15750555e-01 
 8.28163407e-05 -6.82192816e+00  5.08281064e-01 
 8.33163407e-05 -6.92478414e+00  5.00622545e-01 
 8.38163407e-05 -7.02326627e+00  4.92779041e-01 
 8.43163407e-05 -7.11731236e+00  4.84754720e-01 
 8.48163407e-05 -7.20686301e+00  4.76553865e-01 
 8.53163407e-05 -7.29186164e+00  4.68180877e-01 
 8.58163407e-05 -7.37225458e+00  4.59640269e-01 
 8.63163407e-05 -7.44799104e+00  4.50936663e-01 
 8.68163407e-05 -7.51902319e+00  4.42074789e-01 
 8.73163407e-05 -7.58530617e+00  4.33059481e-01 
 8.78163407e-05 -7.64679811e+00  4.23895675e-01 
 8.83163407e-05 -7.70346016e+00  4.14588403e-01 
 8.88163407e-05 -7.75525654e+00  4.05142792e-01 
 8.93163407e-05 -7.80215454e+00  3.95564062e-01 
 8.98163407e-05 -7.84412453e+00  3.85857520e-01 
 9.03163407e-05 -7.88114000e+00  3.76028557e-01 
 9.08163407e-05 -7.91317757e+00  3.66082648e-01 
 9.13163407e-05 -7.94021701e+00  3.56025342e-01 
 9.18163407e-05 -7.96224124e+00  3.45862266e-01 
 9.23163407e-05 -7.97923635e+00  3.35599117e-01 
 9.28163407e-05 -7.99119160e+00  3.25241658e-01 
 9.33163407e-05 -7.99809945e+00  3.14795717e-01 
 9.38163407e-05 -7.99995552e+00  3.04267181e-01 
 9.43163407e-05 -7.99675865e+00  2.93661993e-01 
 9.48163407e-05 -7.98851085e+00  2.82986151e-01 
 9.53163407e-05 -7.97521735e+00  2.72245697e-01 
 9.58163407e-05 -7.95688652e+00  2.61446724e-01 
 9.63163407e-05 -7.93352995e+00  2.50595360e-01 
 9.68163407e-05 -7.90516239e+00  2.39697773e-01 
 9.73163407e-05 -7.87180177e+00  2.28760166e-01 
 9.78163407e-05 -7.83346914e+00  2.17788767e-01 
 9.83163407e-05 -7.79018873e+00  2.06789834e-01 
 9.88163407e-05 -7.74198787e+00  1.95769642e-01 
 9.93163407e-05 -7.68889700e+00  1.84734487e-01 
 9.98163407e-05 -7.63094967e+00  1.73690676e-01 
 1.00316341e-04 -7.56818246e+00  1.62644526e-01 
 1.00816341e-04 -7.50063502e+00  1.51602362e-01 
 1.01316341e-04 -7.42835002e+00  1.40570506e-01 
 1.01816341e-04 -7.35137312e+00  1.29555281e-01 
 1.02316341e-04 -7.26975293e+00  1.18563000e-01 
 1.02816341e-04 -7.18354101e+00  1.07599970e-01 
 1.03316341e-04 -7.09279181e+00  9.66724782e-02 
 1.03816341e-04 -6.99756265e+00  8.57867969e-02 
 1.04316341e-04 -6.89791368e+00  7.49491740e-02 
 1.04816341e-04 -6.79390784e+00  6.41658313e-02 
 1.05316341e-04 -6.68561083e+00  5.34429600e-02 
 1.05816341e-04 -6.57309104e+00  4.27867168e-02 
 1.06316341e-04 -6.45641954e+00  3.22032199e-02 
 1.06816341e-04 -6.33567003e+00  2.16985454e-02 
 1.07316341e-04 -6.21091878e+00  1.12787230e-02 
 1.07816341e-04 -6.08224457e+00  9.49732589e-04 
 1.08316341e-04 -5.94972869e+00 -9.28249981e-03 
 1.08816341e-04 -5.81345484e+00 -1.94121057e-02 
 1.09316341e-04 -5.67350908e+00 -2.94332779e-02 
 1.09816341e-04 -5.52997981e+00 -3.93402741e-02 
 1.10316341e-04 -5.38295769e+00 -4.91274207e-02 
 1.10816341e-04 -5.23253557e+00 -5.87891163e-02 
 1.11316341e-04 -5.07880848e+00 -6.83198353e-02 
 1.11816341e-04 -4.92187350e+00 -7.77141313e-02 
 1.12316341e-04 -4.76182975e+00 -8.69666408e-02 
 1.12816341e-04 -4.59877834e+00 -9.60720864e-02 
 1.13316341e-04 -4.43282224e+00 -1.05025280e-01 
 1.13816341e-04 -4.26406627e+00 -1.13821127e-01 
 1.14316341e-04 -4.09261703e+00 -1.22454627e-01 
 1.14816341e-04 -3.91858280e+00 -1.30920882e-01 
 1.15316341e-04 -3.74207351e+00 -1.39215094e-01 
 1.15816341e-04 -3.56320065e+00 -1.47332569e-01 
 1.16316341e-04 -3.38207720e+00 -1.55268726e-01 
 1.16816341e-04 -3.19881755e+00 -1.63019091e-01 
 1.17316341e-04 -3.01353746e+00 -1.70579306e-01 
 1.17816341e-04 -2.82635395e+00 -1.77945129e-01 
 1.18316341e-04 -2.63738526e+00 -1.85112438e-01 
 1.18816341e-04 -2.44675074e+00 -1.92077235e-01 
 1.19316341e-04 -2.25457080e+00 -1.98835643e-01 
 1.19816341e-04 -2.06096683e+00 -2.05383915e-01 
 1.20316341e-04 -1.86606110e+00 -2.11718434e-01 
 1.20816341e-04 -1.66997673e+00 -2.17835712e-01 
 1.21316341e-04 -1.47283757e+00 -2.23732399e-01 
 1.21816341e-04 -1.27476813e+00 -2.29405277e-01 
 1.22316341e-04 -1.07589352e+00 -2.34851269e-01 
 1.22816341e-04 -8.76339350e-01 -2.40067439e-01 
 1.23316341e-04 -6.76231668e-01 -2.45050991e-01 
 1.23816341e-04 -4.75696864e-01 -2.49799274e-01 
 1.24316341e-04 -2.74861599e-01 -2.54309782e-01 
 1.24816341e-04 -7.38527255e-02 -2.58580157e-01 
 1.25316341e-04  1.27202795e-01 -2.62608189e-01 
 1.25816341e-04  3.28177971e-01 -2.66391819e-01 
 1.26316341e-04  5.28945863e-01 -2.69929138e-01 
 1.26816341e-04  7.29379662e-01 -2.73218392e-01 
 1.27316341e-04  9.29352768e-01 -2.76257978e-01 
 1.27816341e-04  1.12873888e+00 -2.79046450e-01 
 1.28316341e-04  1.32741205e+00 -2.81582516e-01 
 1.28816341e-04  1.52524680e+00 -2.83865043e-01 
 1.29316341e-04  1.72211817e+00 -2.85893053e-01 
 1.29816341e-04  1.91790181e+00 -2.87665726e-01 
 1.30316341e-04  2.11247407e+00 -2.89182402e-01 
 1.30816341e-04  2.30571204e+00 -2.90442580e-01 
 1.31316341e-04  2.49749368e+00 -2.91445916e-01 
 1.31816341e-04  2.68769784e+00 -2.92192227e-01 
 1.32316341e-04  2.87620440e+00 -2.92681490e-01 
 1.32816341e-04  3.06289429e+00 -2.92913842e-01 
 1.33316341e-04  3.24764958e+00 -2.92889576e-01 
 1.33816341e-04  3.43035359e+00 -2.92609150e-01 
 1.34316341e-04  3.61089092e+00 -2.92073176e-01 
 1.34816341e-04  3.78914753e+00 -2.91282428e-01 
 1.35316341e-04  3.96501083e+00 -2.90237837e-01 
 1.35816341e-04  4.13836975e+00 -2.88940492e-01 
 1.36316341e-04  4.30911478e+00 -2.87391638e-01 
 1.36816341e-04  4.47713809e+00 -2.85592679e-01 
 1.37316341e-04  4.64233353e+00 -2.83545171e-01 
 1.37816341e-04  4.80459679e+00 -2.81250826e-01 
 1.38316341e-04  4.96382535e+00 -2.78711510e-01 
 1.38816341e-04  5.11991866e+00 -2.75929240e-01 
 1.39316341e-04  5.27277811e+00 -2.72906184e-01 
 1.39816341e-04  5.42230717e+00 -2.69644661e-01 
 1.40316341e-04  5.56841138e+00 -2.66147136e-01 
 1.40816341e-04  5.71099846e+00 -2.62416223e-01 
 1.41316341e-04  5.84997835e+00 -2.58454678e-01 
 1.41816341e-04  5.98526328e+00 -2.54265403e-01 
 1.42316341e-04  6.11676778e+00 -2.49851439e-01 
 1.42816341e-04  6.24440880e+00 -2.45215968e-01 
 1.43316341e-04  6.36810572e+00 -2.40362309e-01 
 1.43816341e-04  6.48778040e+00 -2.35293916e-01 
 1.44316341e-04  6.60335726e+00 -2.30014378e-01 
 1.44816341e-04  6.71476331e+00 -2.24527413e-01 
 1.45316341e-04  6.82192816e+00 -2.18836868e-01 
 1.45816341e-04  6.92478414e+00 -2.12946716e-01 
 1.46316341e-04  7.02326627e+00 -2.06861055e-01 
 1.46816341e-04  7.11731236e+00 -2.00584103e-01 
 1.47316341e-04  7.20686301e+00 -1.94120196e-01 
 1.47816341e-04  7.29186164e+00 -1.87473788e-01 
 1.48316341e-04  7.37225458e+00 -1.80649443e-01 
 1.48816341e-04  7.44799104e+00 -1.73651838e-01 
 1.49316341e-04  7.51902319e+00 -1.66485754e-01 
 1.49816341e-04  7.58530617e+00 -1.59156079e-01 
 1.50316341e-04  7.64679811e+00 -1.51667800e-01 
 1.50816341e-04  7.70346016e+00 -1.44026004e-01 
 1.51316341e-04  7.75525654e+00 -1.36235870e-01 
 1.51816341e-04  7.80215454e+00 -1.28302671e-01 
 1.52316341e-04  7.84412453e+00 -1.20231767e-01 
 1.52816341e-04  7.88114000e+00 -1.12028602e-01 
 1.53316341e-04  7.91317757e+00 -1.03698703e-01 
 1.53816341e-04  7.94021701e+00 -9.52476745e-02 
 1.54316341e-04  7.96224124e+00 -8.66811943e-02 
 1.54816341e-04  7.97923635e+00 -7.80050120e-02 
 1.55316341e-04  7.99119160e+00 -6.92249441e-02 
 1.55816341e-04  7.99809945e+00 -6.03468706e-02 
 1.56316341e-04  7.99995552e+00 -5.13767315e-02 
 1.56816341e-04  7.99675865e+00 -4.23205228e-02 
 1.57316341e-04  7.98851085e+00 -3.31842931e-02 
 1.57816341e-04  7.97521735e+00 -2.39741392e-02 
 1.58316341e-04  7.95688652e+00 -1.46962029e-02 
 1.58816341e-04  7.93352995e+00 -5.35666697e-03 
 1.59316341e-04  7.90516239e+00  4.03824902e-03 
 1.59816341e-04  7.87180177e+00  1.34822923e-02 
 1.60316341e-04  7.83346914e+00  2.29691810e-02 
 1.60816341e-04  7.79018873e+00  3.24926080e-02 
 1.61316341e-04  7.74198787e+00  4.20462448e-02 
 1.61816341e-04  7.68889700e+00  5.16237459e-02 
 1.62316341e-04  7.63094967e+00  6.12187524e-02 
 1.62816341e-04  7.56818246e+00  7.08248962e-02 
 1.63316341e-04  7.50063502e+00  8.04358038e-02 
 1.63816341e-04  7.42835002e+00  9.00451008e-02 
 1.64316341e-04  7.35137312e+00  9.96464152e-02 
 1.64816341e-04  7.26975293e+00  1.09233382e-01 
 1.65316341e-04  7.18354101e+00  1.18799648e-01 
 1.65816341e-04  7.09279181e+00  1.28338872e-01 
 1.66316341e-04  6.99756265e+00  1.37844735e-01 
 1.66816341e-04  6.89791368e+00  1.47310940e-01 
 1.67316341e-04  6.79390784e+00  1.56731214e-01 
 1.67816341e-04  6.68561083e+00  1.66099320e-01 
 1.68316341e-04  6.57309104e+00  1.75409050e-01 
 1.68816341e-04  6.45641954e+00  1.84654238e-01 
 1.69316341e-04  6.33567003e+00  1.93828760e-01 
 1.69816341e-04  6.21091878e+00  2.02926539e-01 
 1.70316341e-04  6.08224457e+00  2.11941547e-01 
